permit_type,accela,name,address_no,address_st,bo,zip,inspection_date,inspection_year,inspection_type,all_violations,phh_violations,critical_violations,general_violations,docket,lat,long,BIN,NTA,NTAcode
Outdoor,41430174,FITMAR MANAGEMENT LLC,1500,PAERDEGAT AVENUE NORTH,BK,11236,8/20/2019,2019,Routine Inspection,6,1,2,3,16193-19S0,40.62729679,-73.90289418,3343625,Canarsie,BK50
Indoor,41487891,TOWN SPORTS INTERNATIONAL,1637,3 AVENUE,MA,10128,1/13/2020,2020,Routine Inspection,6,2,2,2,00752-20S0,40.78239616,-73.95135704,1086172,Yorkville,MN32
Indoor,40425601,SEPHARDIC COMM. YOUTH CENTER INC,1901,OCEAN PARKWAY,BK,11223,1/27/2020,2020,Routine Inspection,6,3,2,1,01763-20S0,40.60210292,-73.96628963,3190468,Homecrest,BK25
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,2/20/2020,2020,Routine Inspection,6,3,1,2,03632-20S0,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,40425793,ASPHALT GREEN INC. AQUACENTER,1750,YORK AVENUE,MA,10128,2/26/2020,2020,Routine Inspection,6,4,0,2,03932-20S0,40.77937113,-73.9446035,1085696,Yorkville,MN32
Outdoor,40706670,NEWPORT EAST INC,370,EAST 76 STREET,MA,10021,7/14/2021,2021,Routine Inspection,6,1,1,4,,40.77072418,-73.95494341,1045148,Lenox Hill-Roosevelt Island,MN31
Outdoor,50049693,LTF CLUB OPERATIONS COMPANY INC,605,WEST 42 STREET,MA,10036,8/18/2021,2021,Re-Inspection,6,1,3,2,,40.76095345,-73.99861746,1089438,Clinton,MN15
Outdoor,50091247,260 KENT LLC,266,KENT AVENUE,BK,11249,8/26/2021,2021,Routine Inspection,6,2,3,1,,40.71586576,-73.96626794,3425049,North Side-South Side,BK73
Indoor,40425697,NYC BD OF ED/FRANKLIN LANE HIGH SCHOOL,999,JAMAICA AVENUE,BK,11208,11/17/2021,2021,Routine Inspection,6,2,2,2,,40.69113882,-73.86832767,3090738,park-cemetery-etc-Brooklyn,BK99
Indoor,50049696,LTF CLUB OPERATIONS COMPANY INC,605,WEST 42 STREET,MA,10036,1/3/2019,2019,Routine Inspection,5,1,2,2,00115-19S0,40.76095345,-73.99861746,1089438,Clinton,MN15
Indoor,40425409,Y.M.C.A. OF NEW YORK,5,WEST 63 STREET,MA,10023,1/17/2019,2019,Routine Inspection,5,1,3,1,01021-19S0,40.77068196,-73.98046466,1027468,Lincoln Square,MN14
Indoor,41724103,FITNESS INTERNATIONAL LLC,1776,EASTCHESTER ROAD,BX,10461,1/24/2019,2019,Routine Inspection,5,1,4,0,01420-19S0,40.84978213,-73.8434764,2047127,Van Nest-Morris Park-Westchester Square,BX37
Indoor,41396712,CLUB FITNESS NY,31-11,BROADWAY,QU,11106,3/20/2019,2019,Routine Inspection,5,1,3,1,05239-19S0,40.76188975,-73.92520085,4008365,Astoria,QN70
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,3/20/2019,2019,Routine Inspection,5,3,2,0,05297-19S0,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,41401067,THE HIGHPOINT CONDOMINIUM,250,EAST 40 STREET,MA,10016,3/25/2019,2019,Routine Inspection,5,3,1,1,05672-19S0,40.74865661,-73.97345865,1076162,Turtle Bay-East Midtown,MN19
Indoor,41380939,TCR TENNIS CLUB OF RIVERDALE INC,2600,NETHERLAND AVENUE,BX,10463,4/22/2019,2019,Routine Inspection,5,1,1,3,07986-19S0,40.87873784,-73.91567763,2083247,Spuyten Duyvil-Kingsbridge,BX29
Indoor,41269465,L. A. FITNESS INTERNATIONAL LLC,145,EAST SERVICE ROAD,SI,10314,5/6/2019,2019,Routine Inspection,5,1,3,1,08992-19S0,40.58787645,-74.19237208,5107392,New Springville-Bloomfield-Travis,SI05
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,5/13/2019,2019,Re-Inspection,5,3,2,0,05297-19S4,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,41284561,TOWN SPORTS INTERNATIONAL,1601,BRONXDALE AVENUE,BX,10462,5/16/2019,2019,Routine Inspection,5,1,4,0,09771-19S0,40.84354168,-73.85694348,2043253,Van Nest-Morris Park-Westchester Square,BX37
Indoor,50038493,24 HOUR FITNESS USA INC,298,WEST 231 STREET,BX,10463,5/22/2019,2019,Routine Inspection,5,2,1,2,10232-19S0,40.88074407,-73.90829059,2083198,Spuyten Duyvil-Kingsbridge,BX29
Outdoor,40426277,SKYLINE TERRACE CONDOMINIUM,25-52,120 STREET,QU,11354,7/2/2019,2019,Routine Inspection,5,3,1,1,13007-19S0,40.77633329,-73.84803661,4449434,College Point,QN23
Indoor,41284561,TOWN SPORTS INTERNATIONAL,1601,BRONXDALE AVENUE,BX,10462,7/3/2019,2019,Re-Inspection,5,0,5,0,09771-19S3,40.84354168,-73.85694348,2043253,Van Nest-Morris Park-Westchester Square,BX37
Indoor,41269465,L. A. FITNESS INTERNATIONAL LLC,145,EAST SERVICE ROAD,SI,10314,10/7/2019,2019,Complaint Inspection,5,2,0,3,19336-19S0,40.58787645,-74.19237208,5107392,New Springville-Bloomfield-Travis,SI05
Indoor,50017527,EQUINOX SC UPPER EAST SIDE INC,330,EAST 61 STREET,MA,10065,10/21/2019,2019,Routine Inspection,5,2,1,2,20150-19S0,40.76129854,-73.9621369,1044200,Lenox Hill-Roosevelt Island,MN31
Indoor,50079793,K-TOWN SAUNA INC,22,WEST 32 STREET,MA,10001,10/31/2019,2019,Routine Inspection,5,1,3,1,21136-19S0,40.74762687,-73.98665374,1015828,Midtown-Midtown South,MN17
Indoor,50080088,UNKNOWN BATHS LLC,103,NORTH 10 STREET,BK,11249,12/30/2019,2019,Routine Inspection,5,2,3,0,24529-19S0,40.72065532,-73.95780212,3329929,North Side-South Side,BK73
Indoor,40618091,FOREST HILLS SPA INC.,59-21,CALLOWAY STREET,QU,11368,2/13/2020,2020,Routine Inspection,5,3,0,2,03209-20S0,40.73757482,-73.85682546,4047929,Corona,QN25
Indoor,41634907,AQUA ANCIENT BATH NEW YORK LLC,88,FRANKLIN STREET,MA,10013,3/4/2020,2020,Routine Inspection,5,3,1,1,04405-20S0,40.71809936,-74.00493498,1084762,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Outdoor,40706670,NEWPORT EAST INC,370,EAST 76 STREET,MA,10021,7/27/2021,2021,Re-Inspection,5,0,1,4,,40.77072418,-73.95494341,1045148,Lenox Hill-Roosevelt Island,MN31
Outdoor,50049693,LTF CLUB OPERATIONS COMPANY INC,605,WEST 42 STREET,MA,10036,8/6/2021,2021,Routine Inspection,5,1,4,0,,40.76095345,-73.99861746,1089438,Clinton,MN15
Outdoor,50092731,THORJAMES HOTEL LEASECO LLC,27,GRAND STREET,MA,10013,8/27/2021,2021,Routine Inspection,5,2,2,1,,40.72282037,-74.00472609,1088405,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,41487891,TOWN SPORTS INTERNATIONAL,1637,3 AVENUE,MA,10128,9/8/2021,2021,Routine Inspection,5,0,2,3,02925-21S0,40.78239616,-73.95135704,1086172,Yorkville,MN32
Indoor,50071931,CABGRAM DEVELOPERS,230,EAST 20 STREET,MA,10003,10/25/2021,2021,Routine Inspection,5,2,2,1,03795-21S0,40.73647722,-73.98339395,1090877,Gramercy,MN21
Indoor,50033544,FITNESS INTERNATIONAL LLC,78-04,S CONDUIT AVENUE,QU,11414,12/9/2021,2021,Routine Inspection,5,2,2,1,04919-21S0,40.67300519,-73.85777933,4541230,Lindenwood-Howard Beach,QN57
Indoor,41487891,TOWN SPORTS INTERNATIONAL,1637,3 AVENUE,MA,10128,1/23/2019,2019,Routine Inspection,4,1,1,2,01343-19S0,40.78239616,-73.95135704,1086172,Yorkville,MN32
Indoor,40425759,HUNTER COLLEGE,695,PARK AVENUE,MA,10021,3/22/2019,2019,Routine Inspection,4,0,2,2,,40.76896567,-73.96536727,1081419,Upper East Side-Carnegie Hill,MN40
Indoor,40618091,FOREST HILLS SPA INC.,59-21,CALLOWAY STREET,QU,11368,3/26/2019,2019,Routine Inspection,4,2,1,1,05755-19S0,40.73757482,-73.85682546,4047929,Corona,QN25
Indoor,40425691,NYC BD OF ED/RICHMOND HILL HIGH SCHOOL,89-30,114 STREET,QU,11413,3/29/2019,2019,Routine Inspection,4,1,2,1,,40.69588068,-73.83368033,4195688,Richmond Hill,QN54
Indoor,41396712,CLUB FITNESS NY,31-11,BROADWAY,QU,11106,4/1/2019,2019,Re-Inspection,4,1,3,0,05239-19S1,40.76188975,-73.92520085,4008365,Astoria,QN70
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,4/1/2019,2019,Re-Inspection,4,2,2,0,05297-19S1,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,50017528,EQUINOX SC UPPER WEST SIDE INC,160,COLUMBUS AVENUE,MA,10023,4/9/2019,2019,Routine Inspection,4,2,1,1,06972-19S0,40.77431886,-73.98105571,1084564,Lincoln Square,MN14
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,4/17/2019,2019,Re-Inspection,4,3,1,0,05297-19S2,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,50033544,FITNESS INTERNATIONAL LLC,78-04,S CONDUIT AVENUE,QU,11414,5/13/2019,2019,Routine Inspection,4,2,1,1,09491-19S0,40.67300519,-73.85777933,,,
Indoor,40425645,COLUMBIA UNIVIVERSITY - HEALTH SCIENCE DIV,50,HAVEN AVENUE,MA,10032,5/14/2019,2019,Routine Inspection,4,3,1,0,09608-19S0,40.84329542,-73.94291641,1063423,Washington Heights South,MN36
Indoor,40425672,CITYSPIRE CONDOMINIUM BRD. OF MANAGERS,150,WEST 56 STREET,MA,10019,5/21/2019,2019,Routine Inspection,4,1,2,1,10079-19S0,40.76449789,-73.97973366,1076177,Midtown-Midtown South,MN17
Indoor,41699809,NEW YORK CITY DEPARTMENT OF EDUCATION,120,EAST 184 STREET,BX,10457,5/22/2019,2019,Routine Inspection,4,1,2,1,,40.85974561,-73.90016025,2013899,Fordham South,BX40
Indoor,41284561,TOWN SPORTS INTERNATIONAL,1601,BRONXDALE AVENUE,BX,10462,5/30/2019,2019,Re-Inspection,4,1,3,0,09771-19S1,40.84354168,-73.85694348,2043253,Van Nest-Morris Park-Westchester Square,BX37
Indoor,41676805,CARNEGIE MANAGEMENT,40,NORTH 4 STREET,BK,11249,5/30/2019,2019,Routine Inspection,4,1,2,1,10674-19S0,40.71847509,-73.9632147,3343247,North Side-South Side,BK73
Outdoor,40750036,PARK CITY 3 & 4 APT INC,98-00,62 DRIVE,QU,11374,7/8/2019,2019,Routine Inspection,4,1,2,1,13312-19S0,40.73305494,-73.85965686,4440231,Rego Park,QN18
Outdoor,41567960,TORAH ACADEMY FOR GIRLS,444,BEACH 6 STREET,QU,11691,7/19/2019,2019,Routine Inspection,4,0,2,2,14183-19S0,40.59918712,-73.74054449,4298759,Far Rockaway-Bayswater,QN15
Indoor,40425958,TSI COBBLE HILL INC.,110,BOERUM PLACE,BK,11201,7/23/2019,2019,Routine Inspection,4,0,3,1,14338-19S0,40.6882031,-73.99134964,3002816,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Outdoor,40426320,NYCP&R / TOMPKINS SQUARE PB#3,0,AVENUE A BTW 7&10 STREET,MA,10009,7/31/2019,2019,Routine Inspection,4,0,2,2,,40.72768551,-73.98188442,,,
Outdoor,50082223,LINDSAY PARK HOUSING CORP,67,MANHATTAN AVENUE,BK,11206,8/5/2019,2019,Routine Inspection,4,0,1,3,15221-19S0,40.70469157,-73.94452513,3338422,East Williamsburg,BK90
Indoor,41002352,TOWN SPORTS INTERNATIONAL,324,9 STREET,BK,11215,8/5/2019,2019,Routine Inspection,4,0,2,2,15156-19S0,40.66887108,-73.98572151,3022267,Park Slope-Gowanus,BK37
Outdoor,40426007,3777 INDEPENDENCE CORP,3777,INDEPENDENCE AVENUE,BX,10463,8/6/2019,2019,Routine Inspection,4,2,1,1,15243-19S0,40.88889409,-73.91303532,2085871,North Riverdale-Fieldston-Riverdale,BX22
Indoor,50040602,24 HOUR FITNESS USA INC,945,KINGS HIGHWAY,BK,11223,8/6/2019,2019,Routine Inspection,4,2,1,1,15251-19S0,40.60708908,-73.96267127,3177585,Homecrest,BK25
Indoor,40734603,TOWN SPORTS INTERNATIONAL,270,8 AVENUE,MA,10011,8/9/2019,2019,Routine Inspection,4,0,2,2,15564-19S0,40.7456569,-73.99820636,1014142,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Outdoor,50018560,GEMINI RESIDENTIAL LLC,225,EAST 39 STREET,MA,10016,8/30/2019,2019,Routine Inspection,4,1,2,1,16879-19S0,40.74839614,-73.97471111,1082154,Turtle Bay-East Midtown,MN19
Indoor,50033544,FITNESS INTERNATIONAL LLC,78-04,S CONDUIT AVENUE,QU,11414,8/30/2019,2019,Complaint Inspection,4,4,0,0,16854-19S0,40.67300519,-73.85777933,,,
Indoor,40425459,VILLAGE EAST TOWERS INC.,411,EAST 10 STREET,MA,10009,9/5/2019,2019,Routine Inspection,4,2,1,1,17184-19S0,40.72562055,-73.97690975,1078024,Lower East Side,MN28
Indoor,41365725,SPA CASTLE INC,11-Nov,131 STREET,QU,11356,9/17/2019,2019,Routine Inspection,4,3,1,0,17966-19S0,40.78749256,-73.83735071,,,
Indoor,50038488,24 HOUR FITNESS USA INC,245-24,HORACE HARDING EXPRESSWAY,QU,11363,10/11/2019,2019,Re-Inspection,4,1,2,1,18581-19S1,40.75968106,-73.73369737,4171723,Douglas Manor-Douglaston-Little Neck,QN45
Indoor,50003158,NEWYORK SPA & SAUNA CORP,149-06,NORTHERN BOULEVARD,QU,11354,10/30/2019,2019,Routine Inspection,4,2,0,2,20995-19S0,40.76533071,-73.81686766,4595272,Murray Hill,QN51
Indoor,40425673,THE HORIZON CONDOMINIUM - B,415,EAST 37 STREET,MA,10016,10/31/2019,2019,Routine Inspection,4,1,1,2,21100-19S0,40.74555738,-73.97182144,1076168,Turtle Bay-East Midtown,MN19
Indoor,41365725,SPA CASTLE INC,11-Nov,131 STREET,QU,11356,12/11/2019,2019,Complaint Inspection,4,2,1,1,23480-19S0,40.78749256,-73.83735071,,,
Indoor,40000098,S.I. DEVELOPMENTAL DISABILITIES SERVICES OFFICE,930,WILLOWBROOK ROAD,SI,10314,12/16/2019,2019,Routine Inspection,4,0,1,3,,40.60331013,-74.14179794,5107306,New Springville-Bloomfield-Travis,SI05
Indoor,50045419,38-46 WEST 33RD ST. LLC,42,WEST 33 STREET,MA,10001,12/17/2019,2019,Routine Inspection,4,2,1,1,23861-19S0,40.74859856,-73.98706138,1015855,Midtown-Midtown South,MN17
Indoor,40425699,NYC BD OF ED/CAMPUS MAGNET HS,207-01,116 AVENUE,QU,11411,12/17/2019,2019,Routine Inspection,4,1,1,2,,40.69781088,-73.74572742,4238003,Cambria Heights,QN33
Indoor,50058244,PA ACQUISITIONS (NY) LLC,1010,PARK AVENUE,MA,10028,12/30/2019,2019,Routine Inspection,4,1,1,2,24470-19S0,40.77929716,-73.95785148,1090583,Upper East Side-Carnegie Hill,MN40
Indoor,40425820,Y.M.C.A. OF GREATER NEW YORK,570,JAMAICA AVENUE,BK,11208,1/9/2020,2020,Routine Inspection,4,1,0,3,00516-20S0,40.6851077,-73.88271537,3086687,Cypress Hills-City Line,BK83
Indoor,50039431,XSPORT FITNESS,200,BAYCHESTER AVENUE,BX,10475,1/16/2020,2020,Routine Inspection,4,3,1,0,01055-20S0,40.86590541,-73.83042975,2120098,Co-op City,BX13
Indoor,40425818,YMCA OF GREATER NEW YORK,138-46,NORTHERN BOULEVARD,QU,11354,2/6/2020,2020,Routine Inspection,4,3,0,1,02596-20S0,40.7641115,-73.82714133,4113292,Flushing,QN22
Indoor,40425849,MADISON SQUARE BOYS & GIRLS CLUB,1665,HOE AVENUE,BX,10460,2/12/2020,2020,Routine Inspection,4,0,2,2,03110-20S0,40.83583007,-73.88756586,2010612,Crotona Park East,BX75
Indoor,41365725,SPA CASTLE INC,11-Nov,131 STREET,QU,11356,12/3/2020,2020,Routine Inspection,4,2,2,0,,40.78749256,-73.83735071,4097283,Whitestone,QN49
Outdoor,40425977,GREAT KILLS SWIM CLUB INC,27,NAHANT STREET,SI,10308,8/5/2021,2021,Routine Inspection,4,2,1,1,,40.55906885,-74.14671684,5107650,Great Kills,SI54
Outdoor,41430174,FITMAR MANAGEMENT LLC,1500,PAERDEGAT AVENUE NORTH,BK,11236,8/6/2021,2021,Routine Inspection,4,0,0,4,,40.62729679,-73.90289418,3343625,Canarsie,BK50
Outdoor,41730226,HILARY GARDENS COMPANY LLC,300,MERCER STREET,MA,10003,8/12/2021,2021,Routine Inspection,4,2,1,1,,40.73045074,-73.99364972,1008840,West Village,MN23
Outdoor,50003694,BROOKLYN PIER 1 HOTEL OWNER LP,60,FURMAN STREET,BK,11201,8/25/2021,2021,Routine Inspection,4,2,2,0,02356-21S0,40.70157861,-73.99552788,3401675,Brooklyn Heights-Cobble Hill,BK09
Outdoor,40426186,250 EAST 87TH OWNERS CORP,250,EAST 87 STREET,MA,10029,8/30/2021,2021,Routine Inspection,4,1,2,1,,40.77900407,-73.9523597,1048799,Yorkville,MN32
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,9/9/2021,2021,Routine Inspection,4,0,0,4,,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,41365725,SPA CASTLE INC,11-Nov,131 STREET,QU,11356,9/21/2021,2021,Routine Inspection,4,3,0,1,03219-21S0,40.78749256,-73.83735071,4097283,Whitestone,QN49
Indoor,40425704,NYC BD OF ED/BROOKLYN TECH HIGH SCHOOL,29,FORT GREENE PLACE,BK,11217,11/15/2021,2021,Routine Inspection,4,1,3,0,,40.68882691,-73.97690452,3058752,Fort Greene,BK68
Indoor,40425695,NYC BD OF ED/BUSHWICK HIGH SCHOOL,400,IRVING AVENUE,BK,11237,11/16/2021,2021,Routine Inspection,4,0,2,2,,40.69717736,-73.91116946,3076908,Bushwick North,BK77
Indoor,40425497,FORDHAM UNIVIVERSITY / LOMBARDI POOL,441,EAST FORDHAM ROAD,BX,10458,11/17/2021,2021,Routine Inspection,4,1,3,0,04304-21S0,40.86080098,-73.88967815,2102025,Belmont,BX06
Indoor,50083440,THE KENT CONDOMINIUM,200,EAST 95 STREET,MA,10128,11/29/2021,2021,Routine Inspection,4,3,1,0,04571-21S0,40.78446501,-73.94974499,1090563,Yorkville,MN32
Indoor,50004851,FITNESS INTERNATIONAL LLC,3231,RICHMOND AVENUE,SI,10312,1/2/2019,2019,Routine Inspection,3,0,2,1,00038-19S0,40.56039291,-74.16976352,5073738,Great Kills,SI54
Indoor,40425820,Y.M.C.A. OF GREATER NEW YORK,570,JAMAICA AVENUE,BK,11208,1/3/2019,2019,Routine Inspection,3,0,1,2,00096-19S0,40.6851077,-73.88271537,3086687,Cypress Hills-City Line,BK83
Indoor,40425601,SEPHARDIC COMM. YOUTH CENTER INC,1901,OCEAN PARKWAY,BK,11223,1/7/2019,2019,Routine Inspection,3,0,2,1,00266-19S0,40.60210292,-73.96628963,3190468,Homecrest,BK25
Indoor,50045964,"FITNESS INTERNATIONAL, LLC",1565,FOREST AVENUE,SI,10302,1/7/2019,2019,Routine Inspection,3,0,2,1,00293-19S0,40.62445265,-74.14004545,5110062,Port Richmond,SI28
Indoor,40854249,EQUINOX WALL STREET INC,14,WALL STREET,MA,10005,1/9/2019,2019,Routine Inspection,3,0,3,0,00472-19S0,40.70733945,-74.01099731,1001025,Battery Park City-Lower Manhattan,MN25
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,1/9/2019,2019,Complaint Inspection,3,3,0,0,00444-19S0,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,40425696,NYC BD OF ED/JAMES MONROE HIGH SCHOOL,1300,BOYNTON AVENUE,BX,10472,1/10/2019,2019,Routine Inspection,3,1,1,1,,40.83159438,-73.87891119,2027459,West Farms-Bronx River,BX08
Indoor,50052575,30 PARK PLACE HOTEL LLC,27,BARCLAY STREET,MA,10007,1/17/2019,2019,Routine Inspection,3,0,2,1,01071-19S0,40.71242019,-74.00901062,1089428,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,50047877,MAKTA FAMILY 11 LLC,300,SCHERMERHORN STREET,BK,11217,1/23/2019,2019,Routine Inspection,3,0,1,2,01324-19S0,40.68757628,-73.98249031,3420391,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,BK38
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,1/23/2019,2019,Complaint Re-inspection,3,3,0,0,00444-19S1,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,40425737,EASTERN ATHLETICS AT PROSPECT PARK PROSPECT,17,EASTERN PARKWAY,BK,11238,1/30/2019,2019,Routine Inspection,3,0,0,3,,40.67305605,-73.96807055,3259310,Prospect Heights,BK64
Indoor,41634907,AQUA ANCIENT BATH NEW YORK LLC,88,FRANKLIN STREET,MA,10013,3/4/2019,2019,Routine Inspection,3,1,0,2,03921-19S0,40.71809936,-74.00493498,1084762,SoHo-TriBeCa-Civic Center-Little Italy,MN24
Indoor,40425781,YORK COLLEGE-HEALTH AND PHYSICAL EDUCATION,160-02,LIBERTY AVENUE,QU,11433,3/27/2019,2019,Routine Inspection,3,1,1,1,,40.70056108,-73.79657217,4000000,Jamaica,QN61
Indoor,41473419,BANYA NY LLC,602,CONEY ISLAND AVENUE,BK,11218,3/27/2019,2019,Routine Inspection,3,2,1,0,05854-19S0,40.64264985,-73.96978593,3125637,Kensington-Ocean Parkway,BK41
Indoor,41333867,ROOM MATE HOTEL NY INC,125,WEST 45 STREET,MA,10036,3/29/2019,2019,Routine Inspection,3,0,2,1,06093-19S0,40.75715629,-73.98361257,1022637,Midtown-Midtown South,MN17
Indoor,40852938,WHITEHALL PROPERTIES II LLC,60,WEST 23 STREET,MA,10023,4/4/2019,2019,Routine Inspection,3,1,1,1,06624-19S0,40.74231347,-73.9914292,1086050,Hudson Yards-Chelsea-Flatiron-Union Square,MN13
Indoor,50039431,XSPORT FITNESS,200,BAYCHESTER AVENUE,BX,10475,4/18/2019,2019,Routine Inspection,3,1,1,1,07773-19S0,40.86590541,-73.83042975,2120098,Co-op City,BX13
Indoor,40745532,EQUINOX 50TH STREET INC. / EQUINOX,1633,BROADWAY,MA,10019,4/22/2019,2019,Routine Inspection,3,1,1,1,08027-19S0,40.76156716,-73.98396163,1024812,Midtown-Midtown South,MN17
Indoor,41130846,PARK AVENUE HEALTH CLUB LLC,275,PARK AVENUE,BK,11205,4/29/2019,2019,Re-Inspection,3,2,1,0,05297-19S3,40.69600497,-73.96756185,3054140,park-cemetery-etc-Brooklyn,BK99
Indoor,50011283,TSI WEST END LLC,75,WEST END AVENUE,MA,10023,5/7/2019,2019,Routine Inspection,3,0,2,1,09111-19S0,40.77421287,-73.98923712,1088686,Lincoln Square,MN14
Indoor,41380939,TCR TENNIS CLUB OF RIVERDALE INC,2600,NETHERLAND AVENUE,BX,10463,5/10/2019,2019,Re-Inspection,3,1,1,1,07986-19S1,40.87873784,-73.91567763,2083247,Spuyten Duyvil-Kingsbridge,BX29
Indoor,41658752,THE ALFRED CONDOMINIUM,161,WEST 61 STREET,MA,10023,5/13/2019,2019,Routine Inspection,3,0,2,1,09497-19S0,40.77139916,-73.98605687,1070131,Lincoln Square,MN14
Indoor,41717962,THE JEWISH COMMUNITY CENTER IN MANHATTAN INC,334,AMSTERDAM AVENUE,MA,10023,5/20/2019,2019,Routine Inspection,3,0,0,3,,40.78100763,-73.9798911,1085971,Upper West Side,MN12
Indoor,41380939,TCR TENNIS CLUB OF RIVERDALE INC,2600,NETHERLAND AVENUE,BX,10463,5/22/2019,2019,Re-Inspection,3,1,1,1,07986-19S2,40.87873784,-73.91567763,2083247,Spuyten Duyvil-Kingsbridge,BX29
Indoor,40425817,Y.M.C.A. OF NEW YORK M/ HARLEM YMCA,180,WEST 135 STREET,MA,10030,5/23/2019,2019,Routine Inspection,3,0,2,1,10301-19S0,40.81510711,-73.94326222,1058250,Central Harlem North-Polo Grounds,MN03
Indoor,40425697,NYC BD OF ED/FRANKLIN LANE HIGH SCHOOL,999,JAMAICA AVENUE,BK,11208,5/24/2019,2019,Routine Inspection,3,0,0,3,,40.69113882,-73.86832767,3090738,park-cemetery-etc-Brooklyn,BK99
Indoor,40593089,THE PINNACLE CONDOMINIUM,112-01,QUEENS BOULEVARD,QU,11375,5/29/2019,2019,Routine Inspection,3,1,2,0,10595-19S0,40.71891337,-73.83647976,4312034,Forest Hills,QN17
